CRN,Subj,Crse,Sec,Campus,Cred,LectureDays,LectureTime,LabDays,LabTime
12004,BIO,112,1,M,4,TR,02:00 pm-03:15 pm,W,09:00 am-10:50 am
24322,BIO,112,2,M,4,TR,02:00 pm-03:15 pm,W,11:00 am-12:50 pm
24323,BIO,112,3,M,4,TR,02:00 pm-03:15 pm,R,09:00 am-10:50 am
12005,BIO,112,5,M,4,TR,11:00 am-12:15 pm,W,02:00 pm-03:50 pm
24334,BIO,112,6,M,4,TR,11:00 am-12:15 pm,W,04:00 pm-05:50 pm
24336,BIO,112,7,M,4,TR,11:00 am-12:15 pm,R,02:00 pm-03:50 pm
17306,BIO,112,9,M,,TR,08:00 am-09:15 am,W,06:00 pm-07:50 pm
