CRN,Subj,Crse,Sec,Campus,Cred,LectureDays,LectureTime,LabDays,LabTime
12006,BIO,113,1,M,5,MWF,02:00 pm-02:50 pm,TR,09:30 am-10:45 am
24344,BIO,113,2,M,5,MWF,02:00 pm-02:50 pm,TR,11:00 am-12:15 pm
24345,BIO,113,3,M,5,MWF,02:00 pm-02:50 pm,TR,08:00 am-09:15 am
24346,BIO,113,4,M,5,MWF,08:00 am-08:50 am,TR,12:30 pm-01:45 pm
24347,BIO,113,5,M,5,MWF,08:00 am-08:50 am,TR,02:00 pm-03:15 pm
31327,BIO,113,6,M,5,MWF,08:00 am-08:50 am,TR,03:30 pm-04:45 pm
